iter	PRAUC	Logloss
0	0.9802796703	0.6036613735
1	0.9810666767	0.5314183462
2	0.983890736	0.459535944
3	0.9855412337	0.4002193153
4	0.9863330929	0.3462521874
5	0.9862543246	0.3140495904
6	0.9863040056	0.2864083103
7	0.9862955767	0.2643490293
8	0.9862025136	0.2434262613
9	0.986881689	0.2217679382
10	0.98699907	0.2024510922
11	0.9870189833	0.1930106622
12	0.9869885861	0.1863075831
13	0.9874931488	0.1731821343
14	0.9877425722	0.1635900218
15	0.9879107326	0.1563388117
16	0.9879270035	0.1500838359
17	0.9880218772	0.1444508057
18	0.9882741845	0.1394712993
19	0.988462643	0.1349208356
20	0.9885719489	0.1305772062
21	0.9885787352	0.1291175082
22	0.988696305	0.1259422675
23	0.9890208592	0.1227663359
24	0.9890899057	0.120373834
25	0.9891266249	0.1182560238
26	0.9891407992	0.1163913547
27	0.9891688817	0.1148608206
28	0.9892006535	0.113218736
29	0.9892378787	0.1118142619
30	0.9893366504	0.1106454103
31	0.9893962741	0.1090416812
32	0.9894091729	0.1081127786
33	0.9893869821	0.1078010727
34	0.9894628587	0.106885737
35	0.989580988	0.106495863
36	0.9897877604	0.1053544063
37	0.9899676379	0.1038452149
38	0.9900876512	0.102845188
39	0.9901080442	0.102360022
40	0.990129159	0.1019531304
41	0.9902049236	0.1014840009
42	0.9902565052	0.1006180107
43	0.9902785159	0.1000910768
44	0.9903412015	0.09945762809
45	0.9903999521	0.09893667427
46	0.9904398123	0.09824704001
47	0.9904662394	0.0980760094
48	0.9905231251	0.09754931179
49	0.9905472516	0.09733257153
50	0.9905970492	0.09685446343
51	0.990610694	0.09659500421
52	0.9906442102	0.09627641771
53	0.9906590642	0.09606387564
54	0.9906700178	0.09601830012
55	0.9906871254	0.09576993246
56	0.9907134113	0.09557415343
57	0.9907350226	0.09529489344
58	0.990745697	0.09524594431
59	0.9907676301	0.09512766526
60	0.9907795125	0.09498538299
61	0.990792232	0.0949446815
62	0.9908225452	0.09447490265
63	0.9908680997	0.09424421349
64	0.9908917887	0.09392269932
65	0.9909100535	0.09368677531
66	0.9909242794	0.09347757021
67	0.9909305548	0.09346291277
68	0.9909270482	0.09340924852
69	0.9909399473	0.09319179359
70	0.9909735762	0.09282273759
71	0.9909818272	0.09278585823
72	0.9909776288	0.09271160859
73	0.9910029562	0.09256594156
74	0.9910223925	0.09246375249
75	0.9910280119	0.09244974957
76	0.9910342941	0.09239518419
77	0.9910410164	0.09230318114
78	0.9910631969	0.09210340781
79	0.9910750943	0.09199160466
80	0.991069384	0.09196746424
81	0.991084196	0.09190064874
82	0.9910829777	0.09188413431
83	0.991102198	0.0917371565
84	0.9911165326	0.09150874582
85	0.9911295518	0.0913870386
86	0.9911411644	0.09133244446
87	0.9911426655	0.09130709229
88	0.9911473769	0.09127796396
89	0.9911573778	0.0911681939
90	0.9911226911	0.09102486219
91	0.9911279629	0.09100422524
92	0.9911366912	0.09094471426
93	0.991195459	0.09088738155
94	0.9911967371	0.09088414995
95	0.9911949715	0.09085654252
96	0.9912101358	0.09077551623
97	0.9912165561	0.09073145517
98	0.9912217128	0.09066239181
99	0.9912293476	0.09053817166
100	0.991239754	0.09049160563
101	0.9912519514	0.09041403477
102	0.9912519514	0.09041403339
103	0.9912606072	0.09029954066
104	0.9912610306	0.09029514409
105	0.9912675324	0.09023232705
106	0.9912675334	0.09023232406
107	0.9912717992	0.09017067912
108	0.9912777631	0.09010876598
109	0.9912832319	0.09004356678
110	0.991285193	0.09002832627
111	0.9913012273	0.0898866691
112	0.9913039748	0.08987296585
113	0.9913048241	0.08985816466
114	0.9913048379	0.08985814893
115	0.991303918	0.08983327762
116	0.9913226274	0.08966650656
117	0.9913188656	0.08965852942
118	0.9913301867	0.08959024264
119	0.9913293114	0.08958771558
120	0.9913484013	0.08945505049
121	0.9913558055	0.08940858439
122	0.9913609608	0.08932188024
123	0.9913612642	0.08931964802
124	0.9913647569	0.08927649517
125	0.9913648893	0.08927622362
126	0.9913649076	0.089275985
127	0.9913748873	0.08918154181
128	0.9913761793	0.08916409543
129	0.9913772917	0.08906985453
130	0.9913803974	0.08906388868
131	0.9913884576	0.0889666727
132	0.9913940885	0.08893323917
133	0.9914141364	0.08877018709
134	0.991422591	0.08872785135
135	0.9914244393	0.08870894923
136	0.9914279002	0.08866067822
137	0.9914283842	0.08865911228
138	0.9914286867	0.0886559391
139	0.9914386907	0.08860023148
140	0.9914423249	0.08856834985
141	0.9914423249	0.08856834973
142	0.9914423249	0.08856834961
143	0.9914418691	0.08855990281
144	0.9914418691	0.0885599026
145	0.9914442749	0.08855071977
146	0.9914537939	0.08850253622
147	0.9914537939	0.088502536
148	0.9914611861	0.08845183569
149	0.9914706196	0.08836288424
150	0.9914718316	0.08835637458
151	0.9914728607	0.08834411294
152	0.9914731106	0.08834344049
153	0.9914828803	0.08825975458
154	0.9914809219	0.08824979262
155	0.9914809917	0.08824857838
156	0.9914871549	0.08821460515
157	0.9914871509	0.08821460025
158	0.9914877961	0.0882121835
159	0.9914878526	0.0882097774
160	0.991498683	0.08810329988
161	0.991498683	0.0881032998
162	0.991504103	0.08805200049
163	0.9915041017	0.08805199358
164	0.9915086776	0.08803643053
165	0.9915068497	0.08802738715
166	0.991516743	0.08797100433
167	0.9915256838	0.0879001489
168	0.9915388928	0.08774422929
169	0.9915398958	0.08774012823
170	0.9915398881	0.08774011636
171	0.99154347	0.08773246783
172	0.9915441127	0.0877263157
173	0.9915455059	0.08771978601
174	0.9915529747	0.08765955504
175	0.9915692963	0.08758553005
176	0.9915696945	0.08758329601
177	0.99157111	0.0875764766
178	0.9915778898	0.08755387487
179	0.991577607	0.08753105729
180	0.9915774699	0.08752606099
181	0.9915755707	0.0875175276
182	0.9915836477	0.0874312306
183	0.9915836477	0.08743123059
184	0.9915837992	0.08742297827
185	0.99158387	0.08742293061
186	0.9915850422	0.08742268857
187	0.9915985224	0.08729357963
188	0.9916130767	0.08726227228
189	0.9916176632	0.08722780568
190	0.9916176487	0.08722777699
191	0.9916267098	0.0871404662
192	0.9916362765	0.08708085461
193	0.9916363145	0.08708082372
194	0.9916434183	0.08702562614
195	0.9916456864	0.08700708398
196	0.9916500692	0.08695548808
197	0.9916564442	0.08694664871
198	0.9916687807	0.08681086996
199	0.9916743279	0.08676075371
200	0.9916820061	0.08662764003
201	0.9916820061	0.08662763974
202	0.9916820061	0.08662763944
203	0.9916864096	0.08659525327
204	0.9916881068	0.08658210463
